n	partition(n)	runtime(n)	memory(n)
102	241265379	0.0009181499481201171875	1177512
103	271248950	0.0009307861328125	1200584
104	304801365	0.0009729862213134765625	1223880
105	342325709	0.00098514556884765625	1247400
106	384276336	0.001036167144775390625	1271256
107	431149389	0.0010449886322021484375	1295224
108	483502844	0.001121044158935546875	1319416
109	541946240	0.056192874908447265625	1343832
110	607163746	0.0010888576507568359375	1368472
111	679903203	0.0011670589447021484375	1393336
112	761002156	0.00123310089111328125	1418424
113	851376628	0.0011589527130126953125	1443736
114	952050665	0.0011870861053466796875	1469272
115	1064144451	0.0012209415435791015625	1495032
116	1188908248	0.00123500823974609375	1521016
117	1327710076	0.00127696990966796875	1547224
118	1482074143	0.0012819766998291015625	1573656
119	1653668665	0.0012938976287841796875	1600312
120	1844349560	0.001305103302001953125	1627272
121	2056148051	0.0013220310211181640625	1654376
122	2291320912	0.0013959407806396484375	1681704
123	2552338241	0.0013768672943115234375	1709256
124	2841940500	0.001410961151123046875	1737032
125	3163127352	0.0014269351959228515625	1765032
126	3519222692	0.0014669895172119140625	1793256
127	3913864295	0.0014870166778564453125	1821704
128	4351078600	0.0015170574188232421875	1850376
129	4835271870	0.0015189647674560546875	1879272
130	5371315400	0.0015981197357177734375	1908472
131	5964539504	0.0015671253204345703125	1937816
132	6620830889	0.001576900482177734375	1967384
133	7346629512	0.0016338825225830078125	1997176
134	8149040695	0.0016171932220458984375	2027192
135	9035836076	0.0015990734100341796875	2057432
136	10015581680	0.0508410930633544921875	2087896
137	11097645016	0.0016229152679443359375	2118584
138	12292341831	0.001657009124755859375	2149496
139	13610949895	0.0016849040985107421875	2180632
140	15065878135	0.001595973968505859375	2212072
141	16670689208	0.0016129016876220703125	2243656
142	18440293320	0.0016391277313232421875	2275464
143	20390982757	0.0017030239105224609375	2307496
144	22540654445	0.001717090606689453125	2339752
145	24908858009	0.001720905303955078125	2372232
146	27517052599	0.0017321109771728515625	2404936
147	30388671978	0.0017869472503662109375	2437864
148	33549419497	0.00185298919677734375	2471016
149	37027355200	0.001822948455810546875	2504392
150	40853235313	0.00187587738037109375	2538104
151	45060624582	0.0018541812896728515625	2571928
152	49686288421	0.0018889904022216796875	2605976
153	54770336324	0.0019710063934326171875	2640248
154	60356673280	0.0019519329071044921875	2674744
155	66493182097	0.0526621341705322265625	2709464
156	73232243759	0.0022189617156982421875	2744408
157	80630964769	0.0023128986358642578125	2779576
158	88751778802	0.00226116180419921875	2814968
159	97662728555	0.00218105316162109375	2850584
160	107438159466	0.002223968505859375	2886424
161	118159068427	0.0022981166839599609375	2922488
162	129913904637	0.0022580623626708984375	2958776
163	142798995930	0.002334117889404296875	2995288
164	156919475295	0.002415180206298828125	3032152
165	172389800255	0.0023968219757080078125	3069112
166	189334822579	0.0023767948150634765625	3106296
167	207890420102	0.002460956573486328125	3143704
168	228204732751	0.0024869441986083984375	3181336
169	250438925115	0.0026018619537353515625	3219192
170	274768617130	0.08995914459228515625	3257272
171	301384802048	0.002566814422607421875	3295576
172	330495499613	0.0027821063995361328125	3334104
173	362326859895	0.00261783599853515625	3372856
174	397125074750	0.0026180744171142578125	3411832
175	435157697830	0.0027759075164794921875	3451032
176	476715857290	0.002748012542724609375	3490456
177	522115831195	0.0028479099273681640625	3530104
178	571701605655	0.0027759075164794921875	3569976
179	625846753120	0.00275516510009765625	3610072
180	684957390936	0.002758026123046875	3650536
181	749474411781	0.00286579132080078125	3691080
182	819876908323	0.002874851226806640625	3731848
183	896684817527	0.095057964324951171875	3772840
184	980462880430	0.002895832061767578125	3814056
185	1071823774337	0.0029900074005126953125	3855496
186	1171432692373	0.0032479763031005859375	3897160
187	1280011042268	0.002954006195068359375	3939048
188	1398341745571	0.00296688079833984375	3981160
189	1527273599625	0.002978801727294921875	4023496
190	1667727404093	0.0029919147491455078125	4066056
191	1820701100652	0.003180980682373046875	4108840
192	1987276856363	0.00317096710205078125	4151848
193	2168627105469	0.0030109882354736328125	4195080
194	2366022741845	0.003099918365478515625	4238536
195	2580840212973	0.048676967620849609375	4282216
196	2814570987591	0.00327205657958984375	4326120
197	3068829878530	0.00316619873046875	4370248
